,0.2
2015-02-23,1.0619550743914359
2015-02-24,1.0731827932396274
2015-02-25,1.0691895549392008
2015-02-26,1.0743971752981132
2015-02-27,1.0770789779197623
2015-03-02,1.0838851641941367
2015-03-03,1.0775197700814143
2015-03-04,1.0782028254031775
2015-03-05,1.0836881179966436
2015-03-06,1.0709596441800435
2015-03-09,1.0762401847984968
2015-03-10,1.0612782359418984
2015-03-11,1.0575159497288105
2015-03-12,1.0740923971265914
2015-03-13,1.0666498671307536
2015-03-16,1.0705463050015507
2015-03-17,1.0771853518542736
2015-03-18,1.0765648930916054
2015-03-19,1.0765648930916054
2015-03-20,1.0811252284935065
2015-03-23,1.0824620139383205
2015-03-24,1.0851555430554298
2015-03-25,1.0755856674001378
2015-03-26,1.0768835083261108
2015-03-27,1.0801517435562356
2015-03-30,1.0861433402847447
2015-03-31,1.0792581210119412
2015-04-01,1.0825738141640517
2015-04-02,1.087978238821345
2015-04-03,1.0789262598743514
2015-04-06,1.0921849543121316
2015-04-07,1.0921849543121316
2015-04-08,1.0986200866124975
2015-04-09,1.109735972817683
2015-04-10,1.1199857544493916
2015-04-13,1.1049691856746513
2015-04-14,1.1165395436398309
2015-04-15,1.1126738082032879
2015-04-16,1.1155780139016978
2015-04-17,1.10746471925514
2015-04-20,1.1145298849282188
2015-04-21,1.1152643362527186
2015-04-22,1.1182137956543787
2015-04-23,1.12121068354893
2015-04-24,1.1227335503517129
2015-04-27,1.1150567397510174
2015-04-28,1.1246406985059023
2015-04-29,1.115317252300672
2015-04-30,1.1086586418391755
2015-05-01,1.1236549906176765
2015-05-04,1.1236549906176765
2015-05-05,1.112010897450654
2015-05-06,1.1054374340174482
2015-05-07,1.10896355023441
2015-05-08,1.1240612711776337
2015-05-11,1.1154597588416657
2015-05-12,1.1199440191787178
2015-05-13,1.1245386613086816
2015-05-14,1.1339588804610057
2015-05-15,1.134785080009611
2015-05-18,1.1414236764557368
2015-05-19,1.1440031649901001
2015-05-20,1.1496687044738607
2015-05-21,1.1581704562380373
2015-05-22,1.1565534643270592
2015-05-26,1.1485357626679462
2015-05-27,1.1546920682634862
2015-05-28,1.1554870369851822
2015-05-29,1.1530922451986845
2015-06-01,1.1538806843407006
2015-06-02,1.1491305751770338
2015-06-03,1.156855822741249
2015-06-04,1.1471985915253222
2015-06-05,1.1510289707958574
2015-06-08,1.143212135680096
2015-06-09,1.1492191616803853
2015-06-10,1.1639477715096784
2015-06-11,1.1698199404470244
2015-06-12,1.1581433643316568
2015-06-15,1.1373457194087995
2015-06-16,1.1454302447163902
2015-06-17,1.1493442777134109
2015-06-18,1.1589068221039862
2015-06-19,1.151941772755782
2015-06-22,1.1653842051120893
2015-06-23,1.1726051743692383
2015-06-24,1.1642740541250518
2015-06-25,1.1634752383074702
2015-06-26,1.1650663155564376
2015-06-29,1.1193459851008667
2015-06-30,1.1199902130059607
2015-07-01,1.1380910649333298
2015-07-02,1.1237979275401326
2015-07-06,1.119814005788144
2015-07-07,1.1315159808849142
2015-07-08,1.1024050031224846
2015-07-09,1.0976184413721564
2015-07-10,1.1215240754206337
2015-07-13,1.152278237846475
2015-07-14,1.1586466149813779
2015-07-15,1.1602930044875681
2015-07-16,1.1777285344297783
2015-07-17,1.1777285344297783
2015-07-20,1.1850181501167711
2015-07-21,1.187856516943398
2015-07-22,1.1793135488619466
2015-07-23,1.1776496144014712
2015-07-24,1.1673374461492692
2015-07-27,1.1536271070166435
2015-07-28,1.1741035311031514
2015-07-29,1.1790041371460167
2015-07-30,1.18151711221631
2015-07-31,1.1806686259597812
2015-08-03,1.18235831272323
2015-08-04,1.17809756204675
2015-08-05,1.1814337675321922
2015-08-06,1.172101077088491
2015-08-07,1.175340043795471
2015-08-10,1.1868670214579136
2015-08-11,1.1711295581899632
2015-08-12,1.173556769709528
2015-08-13,1.1760144802220085
2015-08-14,1.1743552005321007
2015-08-17,1.1817591912885201
2015-08-18,1.1740660030631338
2015-08-19,1.165759126263878
2015-08-20,1.1420362060473794
2015-08-21,1.1080882322456824
2015-08-24,1.0498996793463489
2015-08-25,1.0482281972697776
2015-08-26,1.0614733314504816
2015-08-27,1.0574466676009329
2015-08-28,1.0552596010702173
2015-08-31,1.0379779699370304
2015-09-01,1.0120530707825008
2015-09-02,1.0375884720638087
2015-09-03,1.040384668138668
2015-09-04,1.020896487037924
2015-09-08,1.0456675703987015
2015-09-09,1.0354762925552217
2015-09-10,1.0444978672241443
2015-09-11,1.0521095925723365
2015-09-14,1.0527726868533696
2015-09-15,1.0629787023634338
2015-09-16,1.0648150775303076
2015-09-17,1.0485412239079734
2015-09-18,1.037247267028671
2015-09-21,1.0550768367755052
2015-09-22,1.0325542308570448
2015-09-23,1.0387187337278332
2015-09-24,1.0313432160918958
2015-09-25,1.0270999754314034
2015-09-28,1.0109976241928371
2015-09-29,1.01267737102431
2015-09-30,1.0198880580640641
2015-10-01,1.0269752280658122
2015-10-02,1.0376030931931524
2015-10-05,1.0494192138273803
2015-10-06,1.0446671268213696
2015-10-07,1.0534048100469358
2015-10-08,1.0647637322605354
2015-10-09,1.0676531860794243
2015-10-12,1.0846886426936213
2015-10-13,1.0645838008858473
2015-10-14,1.0640012652902873
2015-10-15,1.0843232539861456
2015-10-16,1.0905380780663074
2015-10-19,1.1017143999843781
2015-10-20,1.0901743473495173
2015-10-21,1.1059759413110999
2015-10-22,1.1326771437350716
2015-10-23,1.124548727414976
2015-10-26,1.1201453739642546
2015-10-27,1.1261018338553497
2015-10-28,1.1329370498423321
2015-10-29,1.130100274756655
2015-10-30,1.1238122361335887
2015-11-02,1.1339518954069745
2015-11-03,1.1303803933741967
2015-11-04,1.1219682602142027
2015-11-05,1.1313599227810183
2015-11-06,1.1363019006028385
2015-11-09,1.1167292362862347
2015-11-10,1.1272241953350333
2015-11-11,1.1195819974005585
2015-11-12,1.0955552004369697
2015-11-13,1.0749121683964347
2015-11-16,1.0987109617926656
2015-11-17,1.0877694418412034
2015-11-18,1.085648363087679
2015-11-19,1.0807621819879876
2015-11-20,1.0896818148517124
2015-11-23,1.0946846581910603
2015-11-24,1.0895407655240832
2015-11-25,1.0976693336456402
2015-11-27,1.0924345469576133
2015-11-30,1.0949787904439774
2015-12-01,1.1059447046929007
2015-12-02,1.097028561337237
2015-12-03,1.076755604316996
2015-12-04,1.1014343139384495
2015-12-07,1.0973612132397557
2015-12-08,1.080759682025841
2015-12-09,1.0661671462347746
2015-12-10,1.0622339868020245
2015-12-11,1.0146876789839778
2015-12-14,1.0251992426774692
2015-12-15,1.041657290720452
2015-12-16,1.0557480729803794
2015-12-17,1.042350993985318
2015-12-18,1.0299130832918486
2015-12-21,1.0460488084645974
2015-12-22,1.057162208820131
2015-12-23,1.0565691304421112
2015-12-24,1.052431517064156
2015-12-28,1.0570512438880317
2015-12-29,1.0612023567672555
2015-12-30,1.0505751514777408
2015-12-31,1.048571329662933
2016-01-04,1.0338545390711726
2016-01-05,1.0380264615491397
2016-01-06,1.0284076835270628
2016-01-07,0.996024858559913
2016-01-08,0.981206210292284
2016-01-11,0.9951818477089099
2016-01-12,1.0070519613344049
2016-01-13,0.9828735903487996
2016-01-14,0.9920166004915791
2016-01-15,0.9676106777647449
2016-01-19,0.9721791889912074
2016-01-20,0.9605205604191659
2016-01-21,0.9578011897728831
2016-01-22,0.9757539937287457
2016-01-25,0.9645902516662826
2016-01-26,0.9734231280603132
2016-01-27,0.9662047231848386
2016-01-28,0.9702686757534394
2016-01-29,0.9840254389327578
2016-02-01,0.9849355202635627
2016-02-02,0.9698354635069087
2016-02-03,0.9731833313420998
2016-02-04,0.9706195113692995
2016-02-05,0.9617861377013666
2016-02-08,0.9514207741447922
2016-02-09,0.9461818790265908
2016-02-10,0.9450953543808186
2016-02-11,0.9317866852610887
2016-02-12,0.9400692335745207
2016-02-16,0.955110341311713
2016-02-17,0.9625658032277156
2016-02-18,0.9638254313235425
2016-02-19,0.9672109871745143
2016-02-22,0.9788823599806424
2016-02-23,0.9681740154957175
2016-02-24,0.9716668642551158
2016-02-25,0.980145243323243
2016-02-26,0.9740266895834101
2016-02-29,0.971305311172467
2016-03-01,0.9922703397029405
2016-03-02,0.9938028035480415
2016-03-03,1.0035990438942997
2016-03-04,0.997027044698266
2016-03-07,1.00071485939464
2016-03-08,0.9894012593691824
2016-03-09,0.9949469479567294
2016-03-10,0.9962509413354408
2016-03-11,1.0101826827314246
2016-03-14,1.0124752959120917
2016-03-15,1.0185762948257657
2016-03-16,1.0267731218137126
2016-03-17,1.0323915793886167
2016-03-18,1.0329723904037438
2016-03-21,1.0417140467400237
2016-03-22,1.0435550730376497
2016-03-23,1.0323907394182277
2016-03-24,1.0364678819716424
2016-03-28,1.039450523358611
2016-03-29,1.0521970699224248
2016-03-30,1.0551425671632653
2016-03-31,1.054144009528726
2016-04-01,1.0607634381599895
2016-04-04,1.053886527701902
2016-04-05,1.0426362476573605
2016-04-06,1.0569317073867908
2016-04-07,1.0346093097267817
2016-04-08,1.041796176132988
2016-04-11,1.0367980535488417
2016-04-12,1.0507637081500851
2016-04-13,1.0652797530978415
2016-04-14,1.067435462547618
2016-04-15,1.0667080789274832
2016-04-18,1.0797476343914523
2016-04-19,1.088729260283316
2016-04-20,1.1030265350976027
2016-04-21,1.0983256609754213
2016-04-22,1.1061825360464823
2016-04-25,1.1054986519438261
2016-04-26,1.109586782551939
2016-04-27,1.1158576026731115
2016-04-28,1.1014361796983378
2016-04-29,1.0960877794327313
2016-05-02,1.1103775164090395
2016-05-03,1.0984114829516995
2016-05-04,1.0951079897698899
2016-05-05,1.0970548484183698
2016-05-06,1.1101735910003532
2016-05-09,1.1137035547237248
2016-05-10,1.1273774594343875
2016-05-11,1.110301862802679
2016-05-12,1.1159866083402288
2016-05-13,1.1064576586466832
2016-05-16,1.1169123766811402
2016-05-17,1.1124816498976116
2016-05-18,1.1057743051040636
2016-05-19,1.1069978451373739
2016-05-20,1.1150039491634023
2016-05-23,1.111786044548212
2016-05-24,1.1257031387047187
2016-05-25,1.1298028162963596
2016-05-26,1.1346922257022791
2016-05-27,1.1411454516304438
2016-05-31,1.1426298684780931
2016-06-01,1.1426298684780931
2016-06-02,1.1493622212219903
2016-06-03,1.1509127942017163
2016-06-06,1.154820817272011
2016-06-07,1.1508317989049228
2016-06-08,1.146924050861103
2016-06-09,1.1392651256466715
2016-06-10,1.109081041542301
2016-06-13,1.0609839464454593
2016-06-14,1.068446905037104
2016-06-15,1.0698489981810166
2016-06-16,1.0755687255102955
2016-06-17,1.0750316125387547
2016-06-20,1.092167857421066
2016-06-21,1.0898032179462709
2016-06-22,1.0810497784446944
2016-06-23,1.1116586524804517
2016-06-24,1.0319925601437718
2016-06-27,1.0228800430564096
2016-06-28,1.0641845014546705
2016-06-29,1.0799710794894948
2016-06-30,1.0861511715037409
2016-07-01,1.0887105851626597
2016-07-05,1.0880615773622646
2016-07-06,1.0964685910357916
2016-07-07,1.0998579838983442
2016-07-08,1.115742902975055
2016-07-11,1.1180083707983546
2016-07-12,1.1233595219748251
2016-07-13,1.1249334057183975
2016-07-14,1.1273142171590715
2016-07-15,1.1305293735716466
2016-07-18,1.1427955150570532
2016-07-19,1.1576540418302614
2016-07-20,1.1691122127146345
2016-07-21,1.1638238214454892
2016-07-22,1.1704427246954163
2016-07-25,1.171203988256194
2016-07-26,1.1734967203702353
2016-07-27,1.1796831940196337
2016-07-28,1.1860706495540887
2016-07-29,1.195146668437633
2016-08-01,1.198604597315572
2016-08-02,1.188048079761233
2016-08-03,1.1947295452361644
2016-08-04,1.2016429892592309
2016-08-05,1.2114888536032544
2016-08-08,1.2190165513343816
2016-08-09,1.2209708864868216
2016-08-10,1.2111044550808674
2016-08-11,1.2158077733530261
2016-08-12,1.2215858697016346
2016-08-15,1.2235681591453695
2016-08-16,1.2115576741476237
2016-08-17,1.212030016320781
2016-08-18,1.2161178072695862
2016-08-19,1.2144490349783073
2016-08-22,1.2136214717517462
2016-08-23,1.2144456629040392
2016-08-24,1.2069976145455137
2016-08-25,1.2093916594008107
2016-08-26,1.2069688380464185
2016-08-29,1.2141508013802484
2016-08-30,1.21663288138307
2016-08-31,1.2157952683838391
